,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
654,39,Sangareddy,CHINTA PRABHAKAR,Telangana Rashtra Samithi,2589,0,,,Telangana,TURUPU JAYAPRAKASH REDDY,Indian National Congress
655,116,Sathupalli ,PIDAMARTHI RAVI,Telangana Rashtra Samithi,19002,0,,,Telangana,SANDRA VENKATA VEERAIAH,Telugu Desam
656,70,secunderabad,KASANI GNANESHWAR MUDHIRAJ,Indian National Congress,45470,0,,,Telangana,T.PADMA RAO,Telangana Rashtra Samithi
657,71,Secunderabad Cantt.,SATYANARAYANA SARVEY,Indian National Congress,37563,0,,,Telangana,G. SAYANNA,Telangana Rashtra Samithi
658,52,Serilingampally,V.ANANDA PRASAD,Telugu Desam,44295,0,,,Telangana,AREKAPUDI GANDHI,Telangana Rashtra Samithi
659,84,Shadnagar,CHOWLAPALLY PRATAP REDDY,Indian National Congress,20425,0,,,Telangana,ANJAIAH YELGANAMONI,Telangana Rashtra Samithi
660,33,Siddipet,BHAVANI MARIKANTI,Telangana Jana Samithi,118699,0,,,Telangana,THANNEERU HARISH RAO,Telangana Rashtra Samithi
661,29,Sircilla,KONDAM KARUNA MAHENDER REDDY,Indian National Congress,89009,0,,,Telangana,KALVAKUNTLA TARAKA RAMA RAO,Telangana Rashtra Samithi
662,1,Sirpur,DR. PALVAI HARISH BABU,Indian National Congress,24036,0,,,Telangana,KONERU KONAPPA,Telangana Rashtra Samithi
663,91,Suryapet,DAMODAR REDDY RAM REDDY,Indian National Congress,5967,0,,,Telangana,GUNTAKANDLA JAGADISH REDDY,Telangana Rashtra Samithi
664,56,Tandur,PATNAM MAHENDER REDDY,Telangana Rashtra Samithi,2875,0,,,Telangana,ROHITH REDDY,Indian National Congress
665,96,Thungathurthy ,ADDANKI DAYAKAR,Indian National Congress,1847,0,,,Telangana,GADARI KISHORE KUMAR,Telangana Rashtra Samithi
666,47,Uppal,TULLA VEERENDER GOUD,Telugu Desam,48168,0,,,Telangana,BETHI SUBHAS REDDY,Telangana Rashtra Samithi
667,28,Vemulawada,SRINIVAS AADI,Indian National Congress,28186,0,,,Telangana,RAMESH CHENNAMANENI,Telangana Rashtra Samithi
668,55,Vikarabad,GADDAM PRASAD KUMAR,Indian National Congress,3092,0,,,Telangana,DR. ANAND METHUKU,Telangana Rashtra Samithi
669,78,Wanaparthy,CHINNA REDDY GILLELA,Indian National Congress,51685,0,,,Telangana,SINGIREDDY NIRANJAN REDDY,Telangana Rashtra Samithi
670,106,Warangal East,RAVI CHANDRA VADDIRAJU,Indian National Congress,28782,0,,,Telangana,NARENDAR NANNAPUNENI,Telangana Rashtra Samithi
671,105,Warangal West,REVURI PRAKASH REDDY,Telugu Desam,36451,0,,,Telangana,DASYAM VINAY BHASKER,Telangana Rashtra Samithi
672,107,Wardhanapet ,DEVAIAH PAGIDIPATI,Telangana Jana Samithi,99240,0,,,Telangana,AROORI RAMESH,Telangana Rashtra Samithi
673,115,Wyra ,BANOTH MADAN LAL,Telangana Rashtra Samithi,2013,0,,,Telangana,LAVUDYA RAMULU,Independent
674,68,Yakutpura,SAMA SUNDER REDDY,Telangana Rashtra Samithi,46978,0,,,Telangana,SYED AHMED PASHA QUADRI,All India Majlis-E-Ittehadul Muslimeen
675,111,Yellandu ,KANAKAIAH KORAM,Telangana Rashtra Samithi,2887,0,,,Telangana,HARIPRIYA BANOTH,Indian National Congress
676,15,Yellareddy,EANUGU RAVINDER REDDY,Telangana Rashtra Samithi,35148,0,,,Telangana,JAJALA SURENDER,Indian National Congress
677,38,Zahirabad ,DR. JETTY GEETA,Indian National Congress,34473,0,,,Telangana,KONINTY MANIK RAO,Telangana Rashtra Samithi
